Date : 2026-07-16 23:17:07
Directory : c:\Users\chris\Desktop\dandilion
Total : 239 files,  33779 codes, 1066 comments, 6211 blanks, all 41056 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\chris\Desktop\dandilion\src\main\services\ai\ai.service.ts                    | TypeScript         |        193 |          8 |         22 |        223 |
| c:\Users\chris\Desktop\dandilion\src\main\services\ai\provider.ts                      | TypeScript         |         40 |          6 |          4 |         50 |
| c:\Users\chris\Desktop\dandilion\src\main\services\ai\providers.ts                     | TypeScript         |        165 |          7 |         10 |        182 |
| c:\Users\chris\Desktop\dandilion\src\main\services\bookmarks.service.ts                | TypeScript         |        147 |          4 |         16 |        167 |
| c:\Users\chris\Desktop\dandilion\src\main\services\downloads.service.ts                | TypeScript         |        179 |          8 |         30 |        217 |
| c:\Users\chris\Desktop\dandilion\src\main\services\extensions.service.ts               | TypeScript         |         83 |          8 |          9 |        100 |
| c:\Users\chris\Desktop\dandilion\src\main\services\history.service.ts                  | TypeScript         |         61 |         10 |         15 |         86 |
| c:\Users\chris\Desktop\dandilion\src\main\services\omnibox.service.ts                  | TypeScript         |        280 |         28 |         32 |        340 |
| c:\Users\chris\Desktop\dandilion\src\main\services\permissions.service.ts              | TypeScript         |        144 |         10 |         18 |        172 |
| c:\Users\chris\Desktop\dandilion\src\main\services\privacy\block-engine.ts             | TypeScript         |         49 |         11 |         10 |         70 |
| c:\Users\chris\Desktop\dandilion\src\main\services\privacy\default-blocklist.ts        | TypeScript         |         76 |          9 |          5 |         90 |
| c:\Users\chris\Desktop\dandilion\src\main\services\privacy\privacy.service.ts          | TypeScript         |        155 |          6 |         22 |        183 |
| c:\Users\chris\Desktop\dandilion\src\main\services\profile.service.ts                  | TypeScript         |         80 |          7 |         12 |         99 |
| c:\Users\chris\Desktop\dandilion\src\main\services\search.service.ts                   | TypeScript         |         81 |          2 |         11 |         94 |
| c:\Users\chris\Desktop\dandilion\src\main\services\settings.service.ts                 | TypeScript         |         54 |          8 |         12 |         74 |
| c:\Users\chris\Desktop\dandilion\src\main\services\sync.service.ts                     | TypeScript         |        100 |         11 |         16 |        127 |
| c:\Users\chris\Desktop\dandilion\src\main\services\update.service.ts                   | TypeScript         |         43 |          5 |          8 |         56 |
| c:\Users\chris\Desktop\dandilion\src\main\services\vault.service.ts                    | TypeScript         |        216 |          7 |         22 |        245 |
| c:\Users\chris\Desktop\dandilion\src\main\services\workspace.service.ts                | TypeScript         |         86 |          4 |         12 |        102 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\database.ts                          | TypeScript         |         55 |          7 |         12 |         74 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\index.ts                             | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\migrations\001_init.ts               | TypeScript         |        187 |          5 |          2 |        194 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\migrations\index.ts                  | TypeScript         |          8 |          1 |          3 |         12 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\bookmarks.repo.ts       | TypeScript         |        147 |          1 |         18 |        166 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\downloads.repo.ts       | TypeScript         |        103 |          1 |         10 |        114 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\helpers.ts              | TypeScript         |         24 |          6 |          5 |         35 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\history.repo.ts         | TypeScript         |        159 |          1 |         20 |        180 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\index.ts                | TypeScript         |         54 |          4 |          4 |         62 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\kv.repo.ts              | TypeScript         |         27 |          1 |          6 |         34 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\passwords.repo.ts       | TypeScript         |        140 |          2 |         17 |        159 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\permissions.repo.ts     | TypeScript         |         72 |          0 |          9 |         81 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\profiles.repo.ts        | TypeScript         |         78 |          0 |         11 |         89 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\search-engines.repo.ts  | TypeScript         |        100 |          0 |         14 |        114 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\sessions.repo.ts        | TypeScript         |         53 |          1 |         10 |         64 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\settings.repo.ts        | TypeScript         |         38 |          0 |          5 |         43 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\tabs.repo.ts            | TypeScript         |        160 |          3 |         20 |        183 |
| c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\workspaces.repo.ts      | TypeScript         |         98 |          0 |         12 |        110 |
| c:\Users\chris\Desktop\dandilion\src\preload\index.ts                                  | TypeScript         |         33 |          5 |          4 |         42 |
| c:\Users\chris\Desktop\dandilion\src\renderer\App.tsx                                  | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\ai\AiSidebar.tsx              | TypeScript JSX     |        171 |          0 |         17 |        188 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\brand\DandelionMark.tsx       | TypeScript JSX     |         43 |          7 |          5 |         55 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\AddressPill.tsx        | TypeScript JSX     |         41 |          1 |          4 |         46 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\BookmarksPanel.tsx     | TypeScript JSX     |        162 |          6 |         12 |        180 |
| c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\Chrome.tsx             | TypeScript JSX     |         86 |          1 |          7 |         94 |
