"filename", "language", "Markdown", "YAML", "JSON", "TypeScript", "TypeScript JSX", "JavaScript", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\chris\Desktop\dandilion\.github\workflows\release.yml", "YAML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 11, 55
"c:\Users\chris\Desktop\dandilion\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\chris\Desktop\dandilion\ROADMAP.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\chris\Desktop\dandilion\Work\BUGS-FIXED.md", "Markdown", 747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 971
"c:\Users\chris\Desktop\dandilion\Work\BUGS.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 103
"c:\Users\chris\Desktop\dandilion\Work\TODO.md", "Markdown", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\chris\Desktop\dandilion\build\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\chris\Desktop\dandilion\docs\ARCHITECTURE.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\chris\Desktop\dandilion\docs\RELEASING.md", "Markdown", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 98
"c:\Users\chris\Desktop\dandilion\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4
"c:\Users\chris\Desktop\dandilion\electron.vite.config.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 24, 3, 54
"c:\Users\chris\Desktop\dandilion\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 6, 0, 18
"c:\Users\chris\Desktop\dandilion\package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\chris\Desktop\dandilion\scripts\generate-icon.cjs", "JavaScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 26, 15, 115
"c:\Users\chris\Desktop\dandilion\scripts\generate-public-suffix-list.cjs", "JavaScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 48, 23, 156
"c:\Users\chris\Desktop\dandilion\src\main\app\app-context.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 24, 4, 57
"c:\Users\chris\Desktop\dandilion\src\main\app\command-executor.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 9, 1, 13
"c:\Users\chris\Desktop\dandilion\src\main\app\media-protocol.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 27, 8, 68
"c:\Users\chris\Desktop\dandilion\src\main\browser\dandelion-window.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"c:\Users\chris\Desktop\dandilion\src\main\browser\popup-host.ts", "TypeScript", 0, 0, 0, 142, 0, 0, 0, 0, 0, 66, 30, 238
"c:\Users\chris\Desktop\dandilion\src\main\browser\tab-manager.ts", "TypeScript", 0, 0, 0, 112, 0, 0, 0, 0, 0, 124, 14, 250
"c:\Users\chris\Desktop\dandilion\src\main\browser\window-manager.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 1, 15
"c:\Users\chris\Desktop\dandilion\src\main\index.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 1, 9
"c:\Users\chris\Desktop\dandilion\src\main\ipc\ipc-host.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 15, 1, 26
"c:\Users\chris\Desktop\dandilion\src\main\ipc\router.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\chris\Desktop\dandilion\src\main\ipc\routers\app.router.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 1, 30
"c:\Users\chris\Desktop\dandilion\src\main\ipc\routers\browsing.router.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\chris\Desktop\dandilion\src\main\ipc\routers\discovery.router.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\chris\Desktop\dandilion\src\main\ipc\routers\sessions.router.ts", "TypeScript", 0, 0, 0, -3, 0, 0, 0, 0, 0, 1, 0, -2
"c:\Users\chris\Desktop\dandilion\src\main\ipc\routers\tabs.router.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 0, 19
"c:\Users\chris\Desktop\dandilion\src\main\services\ai\ai.service.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 42, 8, 79
"c:\Users\chris\Desktop\dandilion\src\main\services\bookmarks.service.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 18, 2, 42
"c:\Users\chris\Desktop\dandilion\src\main\services\downloads.service.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 99, 6, 163
"c:\Users\chris\Desktop\dandilion\src\main\services\extensions.service.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\chris\Desktop\dandilion\src\main\services\history.service.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 3, 0, 2
"c:\Users\chris\Desktop\dandilion\src\main\services\permissions.service.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 21, 3, 45
"c:\Users\chris\Desktop\dandilion\src\main\services\privacy\privacy.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 14, 5, 43
"c:\Users\chris\Desktop\dandilion\src\main\services\privacy\public-suffix-list.ts", "TypeScript", 0, 0, 0, 10249, 0, 0, 0, 0, 0, 18, 3, 10270
"c:\Users\chris\Desktop\dandilion\src\main\services\privacy\public-suffix.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 41, 13, 83
"c:\Users\chris\Desktop\dandilion\src\main\services\privacy\third-party.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 44, 7, 84
"c:\Users\chris\Desktop\dandilion\src\main\services\update.service.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 61, 18, 172
"c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\bookmarks.repo.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\downloads.repo.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 22, 3, 26
"c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\helpers.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 22, 4, 31
"c:\Users\chris\Desktop\dandilion\src\main\storage\repositories\history.repo.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 6
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\BookmarksPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 0, 7
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\ContentSlot.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 0, 13
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\DownloadRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 5, 7, 116
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\DownloadsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 6, 8, 73
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\DownloadsPopover.tsx", "TypeScript JSX", 0, 0, 0, 0, -91, 0, 0, 0, 0, 8, -5, -88
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\HistoryPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 7, 9, 114
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\PermissionPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 6
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, -129, 0, 0, 0, 0, 2, -11, -138
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\SplitDivider.tsx", "TypeScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 0, 20, 12, 138
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabContextMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, -11, 0, 0, 0, 0, 3, 0, -8
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TabsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 5, 14, 149
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\TitleBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\Toolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 2, 28
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\UpdateChip.tsx", "TypeScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 0, 21, 10, 185
"c:\Users\chris\Desktop\dandilion\src\renderer\components\chrome\ZoomControl.tsx", "TypeScript JSX", 0, 0, 0, 0, -8, 0, 0, 0, 0, 9, 2, 3
"c:\Users\chris\Desktop\dandilion\src\renderer\components\palette\CommandPalette.tsx", "TypeScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 2, 34
"c:\Users\chris\Desktop\dandilion\src\renderer\components\reader\ReaderView.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 0, 16
